CODIGO,GRUP,ESTMIN  ,ESTAMAX  ,SALDO   ,PRECOCUSTO ,PREVENDA,UN,CUSTOMED,DESCRICAO
000001,0001,00000000,00000000,00016700,000000002900,00000120,UN,00000029,LINHA LARANJA                                     
000002,0001,00000000,00000000,00050800,000000008517,00000130,UN,00000029,LINHA CORRENTE DRIMA                              
000003,0001,00000000,00000000,00000000,000000018000,00000290,UN,00000000,AGULHA CROCHET BARBANTE 3,5                       
000004,0001,00000000,00000000,00000000,000000018000,00000290,UN,00000000,AGULHA CROCHET BARBANTE 4,0                       
000005,0001,00000600,00000000,00000000,000000024130,00000360,PC,00000177,LINHA CORRENTE MARRON                             
000006,0001,00000000,00000000,00000000,000000002800,00000000,PC,00000000,LINHA CORRENTE PERSPONTO                          
000007,0001,00002400,00000000,00003000,000000050381,00000770,UN,00000231,LINHA 10 CORRENTE  500JDS                         
000008,0001,00002400,00000000,00003600,000000023767,00000360,UN,00000098,LINHA 10 CORRENTE  200JDS                         
000009,0001,00000000,00000000,00000000,000000018000,00000290,UN,00000000,AGULHA CROCHET BARBANTE 4,5                       
000010,0001,00000000,00000000,00000000,000000022700,00000350,UN,00000198,AGULHA CROCHET BARBANTE 5,0                       
000011,0001,00000000,00000000,00000000,000000028200,00000430,UN,00000000,LINHA DRIMA BCA 1000JDS                           
000012,0001,00000000,00000000,00000000,000000000000,00000000,UN,00000000,LINHA CORR.CARRETEL 50                            
000013,0001,00001200,00000000,00000000,000000011300,00000390,UN,00000000,LINHA NOV.BRILH.PEROLA                            
000014,0001,00000500,00000000,00000000,000000006900,00000180,UN,00000000,AGULHA CROCHET N.1                                
000015,0001,00000000,00000000,00000000,000000011659,00000180,UN,00000091,AGULHA CROCHET N.2                                
000016,0001,00000000,00000000,00000000,000000009458,00000180,UN,00000091,AGULHA CROCHET N.3                                
000017,0001,00000000,00000000,00000000,000000011659,00000180,UN,00000070,AGULHA CROCHET N.4                                
000018,0001,00000000,00000000,00000000,000000007037,00000180,UN,00000070,AGULHA CROCHET N.5                                
000019,0018,00000000,00000000,00009400,000000002106,00000040,UN,00000000,ABRA€ADEIRA PLAST.PTA 380X4,8                     
000020,0001,00000000,00000000,00000000,000000000000,00000000,UN,00000000,AGULHA TRICOT N.2                                 
000021,0001,00000000,00000000,00000000,000000000000,00000000,UN,00000000,AGULHA TRICOT N.2,5                               
000022,0001,00000000,00000000,00000000,000000000000,00000000,UN,00000000,AGULHA TRICOT N.3                                 
000023,0001,00000000,00000000,00000000,000000000000,00000000,UN,00000000,AGULHA TRICOT N.3,5                               
000024,0001,00000000,00000000,00000000,000000000000,00000000,UN,00000000,AGULHA TRICOT N.4                                 
000025,0001,00000300,00000000,00000000,000000009100,00000250,UN,00000000,AGULHA TRICOT N.4,5                               
000026,0001,00000300,00000000,00000000,000000010200,00000260,UN,00000000,AGULHA TRICOT N.5                                 
000027,0001,00000000,00000000,00000000,000000000000,00000000,UN,00000000,AGULHA TRICOT N.5,5                               
000028,0001,00003000,00000000,00000000,000000000739,00000015,UN,00000007,AGULHA MAO N.01                                   
000029,0001,00003000,00000000,00000000,000000000400,00000015,UN,00000000,AGULHA MAO N.2/0                                  
000030,0001,00003000,00000000,00000000,000000001207,00000020,UN,00000006,AGULHA MAO N.03                                   
000031,0001,00003000,00000000,00000000,000000001207,00000015,UN,00000004,AGULHA MAO N.06                                   
000032,0001,00003000,00000000,00000000,000000001207,00000015,UN,00000005,AGULHA MAO N.07                                   
000033,0001,00003000,00000000,00000000,000000001207,00000015,UN,00000004,AGULHA MAO N.08                                   
000034,0001,00003000,00000000,00000000,000000000530,00000015,UN,00000004,AGULHA MAO N.09                                   
000035,0001,00003000,00000000,00000000,000000000300,00000015,UN,00000000,AGULHA MAO N.12                                   
000036,0032,00000000,00000000,00000000,000001907120,00031990,UN,00000000,CAIXA FIBROMAR POLIET.1000LT                      
000037,0001,00005000,00000000,00004900,000000003519,00000060,UN,00000010,AGULHA MAQUINA N.11                               
000038,0001,00005000,00000000,00004400,000000003519,00000060,UN,00000010,AGULHA MAQUINA N.14                               
000039,0001,00000000,00000000,00000000,000000016810,00000260,UN,00000155,ALFINETE CABE€A(CART.)                            
000040,0001,00000000,00000000,00000000,000000016527,00000270,CX,00000165,ALFINETE CABE€A N.29 (CX)                         
000041,0001,00002000,00000000,00000000,000000000423,00000010,UN,00000000,ALFINETE SEGUR.N.0                                
000042,0001,00001000,00000000,00000000,000000000447,00000010,UN,00000003,ALFINETE SEGUR.N.1                                
000043,0001,00002000,00000000,00000000,000000000539,00000010,UN,00000004,ALFINETE SEGUR.N.2                                
000044,0001,00002000,00000000,00000000,000000000576,00000015,UN,00000004,ALFINETE SEGUR.N.3                                
000045,0001,00000000,00000000,00000900,000000003463,00000055,UN,00000000,LINHA RUBI 05                                     
000046,0001,00000000,00000000,00000300,000000003000,00000075,UN,00000000,LINHA RUBI 10                                     
000047,0001,00000000,00000000,00000000,000000001000,00000050,UN,00000000,ZIPER SINTETICO 10 CM                             
000048,0001,00000000,00000000,00000000,000000001200,00000055,UN,00000000,ZIPER SINTETICO 12 CM                             
000049,0001,00000000,00000000,00011300,000000003600,00000070,UN,00000031,ZIPER SINTETICO 15 CM                             
000050,0001,00000000,00000000,00010200,000000003900,00000080,UN,00000020,ZIPER SINTETICO 18 CM                             
000051,0001,00000000,00000000,00003700,000000004800,00000090,UN,00000020,ZIPER SINTETICO 20 CM                             
000052,0001,00000000,00000000,00003900,000000001700,00000110,UN,00000017,ZIPER SINTETICO 25 CM                             
000053,0001,00000000,00000000,00000300,000000005449,00000120,UN,00000029,ZIPER SINTETICO 30 CM                             
000054,0001,00000000,00000000,00000000,000000003890,00000130,UN,00000034,ZIPER SINTETICO 35 CM                             
000055,0001,00000000,00000000,00000000,000000006940,00000150,UN,00000026,ZIPER SINTETICO 40 CM                             
000056,0001,00000000,00000000,00000000,000000003000,00000130,UN,00000000,ZIPER SINTETICO 45 CM                             
000057,0001,00000000,00000000,00000000,000000009700,00000170,UN,00000042,ZIPER SINTETICO 50 CM                             
000058,0001,00000000,00000000,00000000,000000003830,00000150,UN,00000038,ZIPER SINTETICO 55 CM                             
000059,0001,00000000,00000000,00000000,000000004260,00000170,UN,00000042,ZIPER SINTETICO 60 CM                             
000060,0001,00000000,00000000,00000300,000000002400,00000120,UN,00000000,ZIPER METALICO 12 CM                              
000061,0001,00000000,00000000,00001900,000000007971,00000140,UN,00000039,ZIPER METALICO 15 CM                              
000062,0001,00000000,00000000,00001400,000000009182,00000160,UN,00000046,ZIPER METALICO 18 CM                              
000063,0001,00000000,00000000,00000000,000000000000,00000000,UN,00000000,ZIPER SEPARAVEL 60CM                              
000064,0001,00003000,00000000,00000000,000000000400,00000010,MT,00000000,ELASTICO N.06                                     
000065,0001,00003000,00000000,00000000,000000000540,00000010,MT,00000005,ELASTICO N.08                                     
000066,0001,00003000,00000000,00000000,000000001479,00000020,MT,00000007,ELASTICO N.10                                     
000067,0001,00003000,00000000,00000000,000000001130,00000025,MT,00000008,ELASTICO N.12                                     
000068,0001,00003000,00000000,00000000,000000001970,00000030,MT,00000010,ELASTICO N.14                                     
000069,0001,00003000,00000000,00000000,000000001640,00000030,MT,00000011,ELASTICO N.16                                     
000070,0001,00003000,00000000,00000000,000000002994,00000050,MT,00000016,ELASTICO N.18                                     
000071,0001,00001000,00000000,00000000,000000000692,00000035,MT,00000006,ELASTICO N.20                                     
000072,0001,00001000,00000000,00000000,000000002552,00000050,MT,00000018,ELASTICO N.25                                     
000073,0001,00001000,00000000,00000000,000000003156,00000060,MT,00000010,ELASTICO N.30                                     
000074,0001,00001000,00000000,00000000,000000003644,00000070,MT,00000000,ELASTICO N.35                                     
000075,0013,00000000,00000000,00000900,000000049741,00000745,UN,00000000,REFIL COLA P/PISTOLA 12X280MM(CARTELADA)          
000076,0016,00000000,00000000,00000200,000000055100,00000850,UN,00000000,ESQUADRO C/PLAST.MONFORT 12"                      
000077,0018,00000300,00000000,00000000,000000014800,00000450,UN,00000000,VALVULA PAN.PRESSAO COMPLETA                      
000078,0021,00000300,00000000,00002000,000000030760,00000480,UN,00000000,RALO SIFON.VIQUA QUADR.1090421                    
000079,0016,00000300,00000000,00000000,000000174466,00002690,UN,00000000,ALICATE CRIMPADOR RJ11/RJ45                       
000080,0022,00000500,00000000,00000000,000000009396,00000140,UN,00000000,FITA ISOL.LORENZETH 05MT                          
000081,0022,00000500,00000000,00000000,000000015963,00000240,UN,00000000,FITA ISOL.LORENZETH 10MT                          
000082,0022,00000500,00000000,00000000,000000023680,00000370,UN,00000000,FITA ISOL.LORENZETH 20MT                          
000083,0016,00000500,00000000,00000100,000000607400,00009120,UN,00000000,CORTADOR PISO 51CM UYUS3050                       
000084,0017,00000500,00000000,00000300,000000072956,00001340,CT,00000000,DOBRADI€A COLONIAL 3"    (CART/3P€S)              
000085,0033,00001000,00000000,00002000,000000378200,00005990,UN,00000000,COLUNA POP  8,0MM-07X14-6MT                       
000086,0016,00001000,00000000,00000600,000000824400,00013390,UN,00000000,CARRINHO CONST.METALOSA AZUL PLUS                 
000087,0021,00000000,00000000,00000300,000000016883,00000260,UN,00000000,AREJADOR JAPONES                                  
000088,0022,00001500,00000000,00000100,000000182400,00002790,UN,00000000,FERRO SOLDA TRAMONTINA 127V 40W                   
000089,0016,00000300,00000000,00000000,000000179550,00002695,UN,00000000,GRAMPO DE FIXA€AO 6"                              
000090,0002,00000500,00000000,00000100,000000011000,00000180,CA,00000000,CHOCALHO BABY 3319                                
000091,0002,00000500,00000000,00000000,000000019900,00000690,CX,00000000,PRATO TERMICO LILLO                               
000092,0016,00000300,00000000,00000000,000000017725,00000380,UN,00000000,PEDRA AMOLAR CANOA CARBORUNDUM                    
000093,0023,00000300,00000000,00000600,000000052700,00001290,UN,00000000,ROLO TIGRE LA ANTI-RESP.23CM (1376)               
000094,0038,00000300,00000000,00001100,000000023300,00000390,UN,00000000,CAP ESGOTO  75MM                                  
000095,0022,00000300,00000000,00000000,000000133900,00002000,UN,00000000,EXTENSAO DANEVA 10MT                              
000096,0021,00000300,00000000,00000000,000001295000,00019490,UN,00000000,CAIXA GORDURA TIGRE COMPLETA 801005               
000097,0021,00000000,00000000,00000000,000000633000,00008990,UN,00000399,VALVULA RETEN.ESG.TIGRE 100MM                     
