CODIGO;GRUP;ESTMIN  ;ESTAMAX  ;SALDO   ;PRECOCUSTO ;PREVENDA;UN;CUSTOMED;DESCRICAO
000001;LINHA LARANJA                                     ;0001;00000000;00000000;00016700;000000002900;00000120;UN;00000029
000002;LINHA CORRENTE DRIMA                              ;0001;00000000;00000000;00050800;000000008517;00000130;UN;00000029
000003;AGULHA CROCHET BARBANTE 3,5                       ;0001;00000000;00000000;00000000;000000018000;00000290;UN;00000000
000004;AGULHA CROCHET BARBANTE 4,0                       ;0001;00000000;00000000;00000000;000000018000;00000290;UN;00000000
000005;LINHA CORRENTE MARRON                             ;0001;00000600;00000000;00000000;000000024130;00000360;PC;00000177
000006;LINHA CORRENTE PERSPONTO                          ;0001;00000000;00000000;00000000;000000002800;00000000;PC;00000000
000007;LINHA 10 CORRENTE  500JDS                         ;0001;00002400;00000000;00003000;000000050381;00000770;UN;00000231
000008;LINHA 10 CORRENTE  200JDS                         ;0001;00002400;00000000;00003600;000000023767;00000360;UN;00000098
000009;AGULHA CROCHET BARBANTE 4,5                       ;0001;00000000;00000000;00000000;000000018000;00000290;UN;00000000
000010;AGULHA CROCHET BARBANTE 5,0                       ;0001;00000000;00000000;00000000;000000022700;00000350;UN;00000198
000011;LINHA DRIMA BCA 1000JDS                           ;0001;00000000;00000000;00000000;000000028200;00000430;UN;00000000
000012;LINHA CORR.CARRETEL 50                            ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000013;LINHA NOV.BRILH.PEROLA                            ;0001;00001200;00000000;00000000;000000011300;00000390;UN;00000000
000014;AGULHA CROCHET N.1                                ;0001;00000500;00000000;00000000;000000006900;00000180;UN;00000000
000015;AGULHA CROCHET N.2                                ;0001;00000000;00000000;00000000;000000011659;00000180;UN;00000091
000016;AGULHA CROCHET N.3                                ;0001;00000000;00000000;00000000;000000009458;00000180;UN;00000091
000017;AGULHA CROCHET N.4                                ;0001;00000000;00000000;00000000;000000011659;00000180;UN;00000070
000018;AGULHA CROCHET N.5                                ;0001;00000000;00000000;00000000;000000007037;00000180;UN;00000070
000019;ABRA€ADEIRA PLAST.PTA 380X4,8                     ;0018;00000000;00000000;00009400;000000002106;00000040;UN;00000000
000020;AGULHA TRICOT N.2                                 ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000021;AGULHA TRICOT N.2,5                               ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000022;AGULHA TRICOT N.3                                 ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000023;AGULHA TRICOT N.3,5                               ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000024;AGULHA TRICOT N.4                                 ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000025;AGULHA TRICOT N.4,5                               ;0001;00000300;00000000;00000000;000000009100;00000250;UN;00000000
000026;AGULHA TRICOT N.5                                 ;0001;00000300;00000000;00000000;000000010200;00000260;UN;00000000
000027;AGULHA TRICOT N.5,5                               ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000028;AGULHA MAO N.01                                   ;0001;00003000;00000000;00000000;000000000739;00000015;UN;00000007
000029;AGULHA MAO N.2/0                                  ;0001;00003000;00000000;00000000;000000000400;00000015;UN;00000000
000030;AGULHA MAO N.03                                   ;0001;00003000;00000000;00000000;000000001207;00000020;UN;00000006
000031;AGULHA MAO N.06                                   ;0001;00003000;00000000;00000000;000000001207;00000015;UN;00000004
000032;AGULHA MAO N.07                                   ;0001;00003000;00000000;00000000;000000001207;00000015;UN;00000005
000033;AGULHA MAO N.08                                   ;0001;00003000;00000000;00000000;000000001207;00000015;UN;00000004
000034;AGULHA MAO N.09                                   ;0001;00003000;00000000;00000000;000000000530;00000015;UN;00000004
000035;AGULHA MAO N.12                                   ;0001;00003000;00000000;00000000;000000000300;00000015;UN;00000000
000036;CAIXA FIBROMAR POLIET.1000LT                      ;0032;00000000;00000000;00000000;000001907120;00031990;UN;00000000
000037;AGULHA MAQUINA N.11                               ;0001;00005000;00000000;00004900;000000003519;00000060;UN;00000010
